ECCAIRSNUMBER,Local date,Occurrence class,Aircraft registration,Occurrence category,Operation type,Operation type,Operator type,Weather conditions,Mass group,Location name,Total fatalities
INCID-06-21,11/1/2021,Incident,CP-2807,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Non-Commercial Operations,Private owner,VMC,2 251 to 5 700 Kg,Santa Cruz,0
INCID G-10-21,12/26/2021,Serious incident,CP-2921,BIRD: Birdstrike,Commercial Air Transport,Airline,Sales/rental/service,VMC,5 701 to 27 000 Kg,Santa Cruz,0
ACCID-02-22,2/15/2022,Accident,CP-3002,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Dual,Flying club/school,VMC,0-2 250 Kg,Santa Cruz,0
INCID G-08-21,10/7/2021,Serious incident,CP-2889,SCF-PP: powerplant failure or malfunction,Commercial Air Transport,Airline,Other,VMC,5 701 to 27 000 Kg,Sucre,0
INCID-07-21,12/14/2021,Incident,CP-2497,RE: Runway excursion,Non-Commercial Operations,Solo,Flying club/school,VMC,0-2 250 Kg,Santa Cruz,0
INCID 04-22,3/26/2022,Incident,CP-2668,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Business,Private owner,VMC,0-2 250 Kg,Santa Cruz,0
INCID G 01-22,6/11/2022,Serious incident,CP-1493,ARC: Abnormal runway contact,Non-Commercial Operations,Local,Private owner,VMC,0-2 250 Kg,Santa Cruz,0
ACCID-01-22,1/9/2022,Accident,CP-2807,LOC-I: Loss of control - inflight,Non-Commercial Operations,Unknown,Private owner,VMC,2 251 to 5 700 Kg,Potosí,0
ACCID-04-22,5/1/2022,Accident,CP-1123,UNK: Unknown or undetermined,Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Beni,0
INCID-01-22,2/2/2022,Incident,CP-2474,RE: Runway excursion,Non-Commercial Operations,Dual,Flying club/school,VMC,0-2 250 Kg,Santa Cruz,0
ACCID-06-22,6/17/2022,Accident,CP-2959,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Beni,0
ACCID-03-22,3/25/2022,Accident,CP-911,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Dual,Flying club/school,VMC,0-2 250 Kg,Beni,0
ACCID-05-22,5/5/2022,Accident,CP-2594,UNK: Unknown or undetermined,Non-Commercial Operations,Local,Private owner,VMC,0-2 250 Kg,Pista sin establecer,0
ACCID-08-22,9/21/2022,Accident,CP-2420,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Unknown,Private owner,VMC,27 001 to 272 000 Kg,Santa Cruz,2
INCID-02-22,12/8/2022,Incident,CP-X3112,OTHR: Other,Non-Commercial Operations,Non-Commercial Operations,Other,Unknown,0-2 250 Kg,La Paz,0
INCID-03-22,2/6/2022,Incident,CP-3139,SCF-NP: System/component failure or malfunction [non-powerplant],Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Carretera transoceanica,0
INCID G-02-22,9/20/2022,Serious incident,CP-X3156,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Non-Commercial Operations,Private owner,Unknown,0-2 250 Kg,Santa Cruz,0
ACCID-07-22,9/10/2022,Accident,CP-2504,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Beni,0
